Domain,Location on Site,Tech Spend USD,Company,Vertical,Quantcast,Alexa,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,GDPR
"1startside.com","1startside.com","$0","","Sports","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","kontakt@1startside.com","","","","","","","","","","","","","","","","2013-11-12","2018-08-05","2011-01-03","2018-08-05","-","Non-EU"
"badgirlns.tk","badgirlns.tk","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-19","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"barneuniverset.no","barneuniverset.no","$10","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-09-26","2018-08-03","-","Non-EU"
"barnibyen.no","barnibyen.no","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","https://twitter.com/barnibyen","https://facebook.com/barnibyen","","","","","https://instagram.com/barnibyen","","","","","","","","","2013-11-12","2018-08-21","2013-09-15","2018-08-21","-","Non-EU"
"batimes.com","batimes.com","$100","","Business And Industrial","Outside Top 1m","548732","302212","238733","ph:+1-866-782-8231","","https://twitter.com/batimes","","","","","","","","","","","Portland","ME","04112","US","2013-10-24","2018-08-21","2011-11-06","2018-08-21","-","Non-EU"
"beseitigeans.ga","beseitigeans.ga","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-03","2018-07-02","2018-08-03","-","Non-EU"
"bitkburgs.tk","bitkburgs.tk","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-13","-","Non-EU"
"bloomberght.com","bloomberght.com","$5000","","Technology And Computing","Outside Top 1m","5763","130727","26363","ph:","","https://twitter.com/bloomberght","https://facebook.com/bloomberght","","https://google.com/+bloomberght","","","","","","https://youtube.com/user/bloomberght","","","","","","2013-10-24","2018-08-20","2011-11-06","2018-08-21","-","Non-EU"
"bloomberghtradyo.com","bloomberghtradyo.com","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2015-11-10","2018-08-21","2013-09-26","2018-08-21","-","Non-EU"
"bluewaterreporting.com","bluewaterreporting.com","$500","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","Ben Meyer - Other - noemail; Edward Howard - Other - noemail; Steve Wynn - Manager - noemail","","","","","2013-11-12","2018-08-03","2013-03-14","2018-08-03","-","Non-EU"
"boligmani.no","boligmani.no","$1000","Paratome As","","Outside Top 1m","507261","Outside Top 1m","Outside Top 1m","ph:","aleks@paratome.com;post@boligmani.no","https://twitter.com/boligmani","https://facebook.com/boligmani","","","","","https://instagram.com/boligmani","","","","","Oslo","","NO-0652","NO","2014-02-13","2018-08-20","2013-10-22","2018-08-20","-","Non-EU"
"buildingyourfamily.com","buildingyourfamily.com","$5000","New Hope Media LLC","Law  Govt And Politics","104643","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-646-366-0830","editor@buildingyourfamily.com;listing@buildingyourfamily.com;advertising@buildingyourfamily.com;webmaster@buildingyourfamily.com","","https://facebook.com/buildingyourfamily","","","https://pinterest.com/buildyourfamily","","","","","","","New York City","NY","10018","US","2013-11-12","2018-08-08","2013-09-15","2018-08-08","-","Non-EU"
"businessht.com.tr","businessht.com.tr","$5000","","Business And Industrial","Outside Top 1m","153028","556211","61998","ph:","","https://twitter.com/businesshtcom","https://facebook.com/businesshtcom","https://linkedin.com/company/businessht","https://google.com/+businessht","","","","","","","","","","","","2015-03-18","2018-07-28","2015-03-11","2018-08-20","-","Non-EU"
"byguiden.no","byguiden.no","$100","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-11-10","2018-08-03","2015-11-10","2018-08-03","-","Non-EU"
"bysiden.no","bysiden.no","$100","","Business And Industrial","Outside Top 1m","925417","Outside Top 1m","Outside Top 1m","ph:","raymond@bysiden.no;henrik@bysiden.no","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2012-11-01","2018-08-03","-","Non-EU"
"canadaboatshows.com","canadaboatshows.com","$250","CanadaBoatShows.com Lifestyle Integrated Inc","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-20","2012-04-05","2018-08-20","-","Non-EU"
"cellproperty.com","cellproperty.com","$0","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-01-30","2018-08-03","2013-03-28","2018-08-03","-","Non-EU"
"circuitinsight.com","circuitinsight.com","$500","Circuitnet LLC","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-843-682-4755;+1-978-363-2176","jferry@circuitinsight.com;kcavallaro@circuitinsight.com","","","","","","","","","","","Ken Cavallaro - Manager - noemail","Haverhill","MA","01835","US","2016-03-20","2018-08-20","2015-01-05","2018-08-20","-","Non-EU"
"circuitmedic.com","circuitmedic.com","$2000","","Art And Entertainment","Outside Top 1m","657585","Outside Top 1m","Outside Top 1m","ph:+1-978-372-5700;+1-978-374-5000;+1-978-373-1600","","","","","","","","","","","","","Haverhill","MA","01835","US","2013-10-24","2018-08-04","2011-04-03","2018-08-04","-","Non-EU"
"circuitnet.com","circuitnet.com","$500","Circuitnet LLC ","Business And Industrial","108556","902139","Outside Top 1m","238864","ph:+1-843-682-4755;+1-978-363-2176","jferry@circuitnet.com;kcavallaro@circuitnet.com","","","","","","","","","","","Ken Cavallaro - Manager - kcavallaro@circuitnet.com","Haverhill","MA","01835","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"circuitrework.com","circuitrework.com","$500","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-978-374-5000","","","","","","","","","","","","Jeff Ferry - President - noemail","Haverhill","MA","01835","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"climanoticias.com","climanoticias.com","$5000","","Home And Garden","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-912-972000;+34-902-999829","info@climanoticias.com","https://twitter.com/climanoticias","https://facebook.com/climanoticias","https://linkedin.com/company/climanoticias","","","","","","","","","Madrid","M","28022","ES","2014-01-11","2018-08-04","2014-01-11","2018-08-04","-","Spain"
"cougargeneva.com","cougargeneva.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-14","-","Non-EU"
"cushcity.com","cushcity.com","$50","Cushcity.com","","259693","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-281-444-4265;+1-800-340-5454","custsvc@cushcity.com;grichardson@cushcity.com","","","","","","","","","","https://youtube.com/user/cushcity","","Houston","TX","77014","US","2013-11-12","2018-08-08","2012-04-05","2018-08-08","-","Non-EU"
"cyberprop.com","cyberprop.com","$0","","Real Estate","Outside Top 1m","Outside Top 1m","572100","Outside Top 1m","ph:","","","https://facebook.com/cyberprop","","","","","","","","","","","","","","2015-01-30","2018-08-07","2011-09-04","2018-08-20","-","Non-EU"
"nationalblackbookfestival.com","nationalblackbookfestival.com","$50","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-281-583-9534;+1-800-340-5454","bookclub@nationalblackbookfestival.com;info@nationalblackbookfestival.com","","","","","","","","","","","","Houston","TX","77014","US","2014-07-17","2018-08-03","2012-04-05","2018-08-03","-","Non-EU"
"norskgatemote.no","norskgatemote.no","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"nortravecls.gq","nortravecls.gq","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-03","2018-07-02","2018-08-03","-","Non-EU"
"nudeafrica.biz","nudeafrica.biz","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Fresno","CA","93794","US","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nudeafrica.bz","nudeafrica.bz","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Fresno","CA","93794","US","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"nudeafrica.com","nudeafrica.com","$0","tarrob web services inc","Adult","Outside Top 1m","483951","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2018-02-09","2018-08-20","2011-11-06","2018-08-20","-","Non-EU"
"nudeafrica.info","nudeafrica.info","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Fresno","CA","93794","US","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nudeafrica.tv","nudeafrica.tv","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Fresno","CA","93794","US","2013-11-12","2018-08-03","2013-09-15","2018-08-03","-","Non-EU"
"nudeafrica.us","nudeafrica.us","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Fresno","CA","93794","US","2013-11-12","2018-08-03","2013-09-15","2018-08-03","-","Non-EU"
"nudeaustralia.com","nudeaustralia.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nudechina.com","nudechina.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-715-831-1007","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nudeeurope.com","nudeeurope.com","$0","Star Media Group","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nudeindia.net","nudeindia.net","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"nuderussia.com","nuderussia.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"nudesouthamerica.com","nudesouthamerica.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"nudeunitedstates.com","nudeunitedstates.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
